step,rate,time,speed,throttle,brake,steer,x,y,yaw,idx,ev,elat,eyaw,sp_x,sp_y,sp_yaw,sp_v,sp_curvature
601,0.019999999999999574,0.019999999999999574,0.0,0.825,0.0,0.0,-184.0900115966797,189.78396606445312,-1.5747812147339821,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
602,0.019999999999999574,0.03999999999999915,0.027171989902853966,0.825,0.0,0.0,-184.0900115966797,189.78372192382812,-1.5747817473662002,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
603,0.02000000000000135,0.0600000000000005,-0.009640326723456383,0.825,0.0,0.0,-184.0900115966797,189.78404235839844,-1.5747813478920367,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
604,0.019999999999999574,0.08000000000000007,-0.007280774414539337,0.825,0.0,0.0,-184.0900115966797,189.78428649902344,-1.5747812147339821,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
605,0.019999999999999574,0.09999999999999964,-0.0044662607833743095,0.825,0.0,0.0,-184.0900115966797,189.7844696044922,-1.5747812147339821,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
606,0.019999999999999574,0.11999999999999922,-0.000907420355360955,0.825,0.0,0.0,-184.0900115966797,189.7845458984375,-1.5747812147339821,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
607,0.02000000000000135,0.14000000000000057,0.0037908991798758507,0.825,0.0,0.0,-184.0900115966797,189.7845458984375,-1.5747812147339821,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
608,0.019999999999999574,0.16000000000000014,0.010366441681981087,0.825,0.0,0.0,-184.0900115966797,189.784423828125,-1.5747818805242546,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
609,0.019999999999999574,0.17999999999999972,0.02047586441040039,0.825,0.0,0.0,-184.0900115966797,189.7841033935547,-1.5747830789467452,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
610,0.019999999999999574,0.1999999999999993,0.04372990131378174,0.825,0.0,0.0,-184.0900115966797,189.78335571289062,-1.5747865410561623,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
611,0.02000000000000135,0.22000000000000064,0.11632687598466873,0.825,0.0,0.0,-184.0900115966797,189.78111267089844,-1.5748555169283953,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
612,0.019999999999999574,0.2400000000000002,0.17418316006660461,0.825,0.0,0.0,-184.08999633789062,189.77755737304688,-1.5746970588435356,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
613,0.019999999999999574,0.2599999999999998,0.245046004652977,0.825,0.0,0.0,-184.08999633789062,189.7726593017578,-1.574591198190205,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
614,0.019999999999999574,0.27999999999999936,0.35938677191734314,0.825,0.0,0.0,-184.08998107910156,189.76522827148438,-1.5745033138742324,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
615,0.02000000000000135,0.3000000000000007,0.42700403928756714,0.825,0.0,0.0,-184.0900421142578,189.75628662109375,-1.5745810781780627,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
616,0.019999999999999574,0.3200000000000003,0.523830235004425,0.825,0.0,0.0,-184.09007263183594,189.74560546875,-1.5745455249775102,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
617,0.019999999999999574,0.33999999999999986,0.5845542550086975,0.825,0.0,0.0,-184.09011840820312,189.7337188720703,-1.574544992345292,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
618,0.019999999999999574,0.35999999999999943,0.6691189408302307,0.825,0.0,0.0,-184.09014892578125,189.72010803222656,-1.574557109728252,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
619,0.02000000000000135,0.3800000000000008,0.7757375836372375,0.825,0.0,0.0,-184.09019470214844,189.70458984375,-1.5745360707556404,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
620,0.019999999999999574,0.40000000000000036,0.881402313709259,0.825,0.0,0.0,-184.09027099609375,189.68687438964844,-1.57453753549424,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
621,0.019999999999999574,0.41999999999999993,0.9784101843833923,0.825,0.0,0.0,-184.09034729003906,189.6671600341797,-1.5745400654972754,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
622,0.019999999999999574,0.4399999999999995,1.069435477256775,0.825,0.0,0.0,-184.09042358398438,189.64564514160156,-1.5745427286583655,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
623,0.02000000000000135,0.46000000000000085,1.156193494796753,0.825,0.0,0.0,-184.0905303955078,189.6224365234375,-1.574546057609728,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
624,0.019999999999999574,0.4800000000000004,1.239830732345581,0.825,0.0,0.0,-184.09060668945312,189.59759521484375,-1.5745492534030363,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
625,0.019999999999999574,0.5,1.3211314678192139,0.825,0.0,0.0,-184.0906982421875,189.57118225097656,-1.57455231603829,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
626,0.019999999999999574,0.5199999999999996,1.4006446599960327,0.825,0.0,0.0,-184.0908203125,189.54324340820312,-1.574555511831598,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
627,0.019999999999999574,0.5399999999999991,1.4787631034851074,0.825,0.0,0.0,-184.09092712402344,189.51376342773438,-1.5745587076249061,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
628,0.02000000000000135,0.5600000000000005,1.5557730197906494,0.825,0.0,0.0,-184.09104919433594,189.48277282714844,-1.5745620365762687,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
629,0.019999999999999574,0.5800000000000001,1.631888508796692,0.825,0.0,0.0,-184.09117126464844,189.45030212402344,-1.5745653655276313,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
630,0.019999999999999574,0.5999999999999996,1.7072727680206299,0.825,0.0,0.0,-184.09127807617188,189.4163360595703,-1.5745685613209393,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
631,0.019999999999999574,0.6199999999999992,1.7820500135421753,0.825,0.0,0.0,-184.09140014648438,189.3809356689453,-1.574571091323975,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
632,0.02000000000000135,0.6400000000000006,1.8563191890716553,0.825,0.0,0.0,-184.091552734375,189.3440399169922,-1.5745746865914465,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
633,0.019999999999999574,0.6600000000000001,1.9301588535308838,0.825,0.0,0.0,-184.0917205810547,189.30569458007812,-1.574578015542809,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
634,0.019999999999999574,0.6799999999999997,2.0036303997039795,0.825,0.0,0.0,-184.0918731689453,189.26589965820312,-1.5745810781780627,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
635,0.019999999999999574,0.6999999999999993,2.07678484916687,0.825,0.0,0.0,-184.09202575683594,189.22463989257812,-1.5745849397616434,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
636,0.02000000000000135,0.7200000000000006,2.1496644020080566,0.825,0.0,0.0,-184.09217834472656,189.18194580078125,-1.5745885350291149,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
637,0.019999999999999574,0.7400000000000002,2.2223031520843506,0.825,0.0,0.0,-184.09234619140625,189.13780212402344,-1.5745923966126956,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
638,0.019999999999999574,0.7599999999999998,2.294728994369507,0.825,0.0,0.0,-184.09249877929688,189.09222412109375,-1.5745961250382217,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
639,0.019999999999999574,0.7799999999999994,2.36696457862854,0.825,0.0,0.0,-184.0926971435547,189.04519653320312,-1.5745989213573663,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
640,0.02000000000000135,0.8000000000000007,2.4390313625335693,0.825,0.0,0.0,-184.09288024902344,188.99673461914062,-1.5746029160990014,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
641,0.019999999999999574,0.8200000000000003,2.5109448432922363,0.825,0.0,0.0,-184.09307861328125,188.9468536376953,-1.5746071771567456,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
642,0.019999999999999574,0.8399999999999999,2.582719326019287,0.825,0.0,0.0,-184.09329223632812,188.89553833007812,-1.5746109055822717,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
643,0.019999999999999574,0.8599999999999994,2.654367208480835,0.825,0.0,0.0,-184.09349060058594,188.84278869628906,-1.5746150334819613,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
644,0.02000000000000135,0.8800000000000008,2.7258975505828857,0.825,0.0,0.0,-184.09368896484375,188.78860473632812,-1.5746192945397053,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
645,0.019999999999999574,0.9000000000000004,2.7973201274871826,0.825,0.0,0.0,-184.09388732910156,188.73300170898438,-1.574623688755504,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
646,0.019999999999999574,0.9199999999999999,2.8686418533325195,0.825,0.0,0.0,-184.0941162109375,188.6759490966797,-1.5746280829713026,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
647,0.019999999999999574,0.9399999999999995,2.939868927001953,0.825,0.0,0.0,-184.09434509277344,188.6175079345703,-1.5746320777129377,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
648,0.02000000000000135,0.9600000000000009,3.011007070541382,0.825,0.0,0.0,-184.09458923339844,188.55763244628906,-1.5746364719287365,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
649,0.019999999999999574,0.9800000000000004,3.082059144973755,0.825,0.0,0.0,-184.09481811523438,188.49632263183594,-1.574640599828426,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
650,0.019999999999999574,1.0,3.153031349182129,0.825,0.0,0.0,-184.0950469970703,188.43360900878906,-1.5746460593086606,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
651,0.019999999999999574,1.0199999999999996,3.223919630050659,0.825,0.0,0.0,-184.0952911376953,188.3694610595703,-1.5746501872083503,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
652,0.019999999999999574,1.0399999999999991,3.294677257537842,0.825,0.0,0.0,-184.09552001953125,188.30392456054688,-1.574655114056367,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
653,0.02000000000000135,1.0600000000000005,3.3652491569519043,0.825,0.0,0.0,-184.09579467773438,188.23696899414062,-1.574659907746329,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
654,0.019999999999999574,1.08,3.43558931350708,0.825,0.0,0.0,-184.0960693359375,188.16860961914062,-1.5746641688040732,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
655,0.019999999999999574,1.0999999999999996,3.5056614875793457,0.825,0.0,0.0,-184.09634399414062,188.09884643554688,-1.5746693619681988,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
656,0.019999999999999574,1.1199999999999992,3.5754339694976807,0.825,0.0,0.0,-184.09661865234375,188.02769470214844,-1.5746748214484334,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
657,0.02000000000000135,1.1400000000000006,3.644881010055542,0.825,0.0,0.0,-184.09689331054688,187.95513916015625,-1.5746790825061776,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
658,0.019999999999999574,1.1600000000000001,3.7139830589294434,0.825,0.0,0.0,-184.09716796875,187.88121032714844,-1.5746850746186303,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
659,0.019999999999999574,1.1799999999999997,3.7827208042144775,0.825,0.0,0.0,-184.0974578857422,187.80589294433594,-1.574689735150538,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
660,0.019999999999999574,1.1999999999999993,3.8510799407958984,0.825,0.0,0.0,-184.09776306152344,187.72923278808594,-1.5746951946307726,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
661,0.02000000000000135,1.2200000000000006,3.919049024581909,0.825,0.0,0.0,-184.09808349609375,187.6511993408203,-1.5747005209529528,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
662,0.019999999999999574,1.2400000000000002,3.98661732673645,0.825,0.0,0.0,-184.09841918945312,187.57183837890625,-1.574705048326806,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
663,0.019999999999999574,1.2599999999999998,4.053776264190674,0.825,0.0,0.0,-184.09872436523438,187.4910888671875,-1.5747105078070405,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
664,0.019999999999999574,1.2799999999999994,4.120521068572998,0.825,0.0,0.0,-184.0990447998047,187.4090118408203,-1.5747157009711663,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
665,0.02000000000000135,1.3000000000000007,4.1868438720703125,0.825,0.0,0.0,-184.09934997558594,187.3256378173828,-1.5747212936094555,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
666,0.019999999999999574,1.3200000000000003,4.252741813659668,0.825,0.0,0.0,-184.0996856689453,187.2409210205078,-1.5747271525638535,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
667,0.019999999999999574,1.3399999999999999,4.318209648132324,0.825,0.0,0.0,-184.10003662109375,187.15492248535156,-1.5747318130957613,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
