step,rate,time,speed,throttle,brake,steer,x,y,yaw,idx,ev,elat,eyaw,sp_x,sp_y,sp_yaw,sp_v,sp_curvature
601,0.019999999999999574,0.019999999999999574,0.0,0.3,0.0,0.0,-184.0900115966797,189.78396606445312,-1.5747812147339821,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
602,0.019999999999999574,0.03999999999999915,0.027171989902853966,0.3,0.0,0.0,-184.0900115966797,189.78372192382812,-1.5747817473662002,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
603,0.02000000000000135,0.0600000000000005,-0.009640326723456383,0.3,0.0,0.0,-184.0900115966797,189.78404235839844,-1.5747813478920367,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
604,0.019999999999999574,0.08000000000000007,-0.0072925942949950695,0.3,0.0,0.0,-184.0900115966797,189.78428649902344,-1.5747812147339821,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
605,0.019999999999999574,0.09999999999999964,-0.0046788593754172325,0.3,0.0,0.0,-184.0900115966797,189.7844696044922,-1.5747812147339821,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
606,0.019999999999999574,0.11999999999999922,-0.0018185917288064957,0.3,0.0,0.0,-184.0900115966797,189.78456115722656,-1.5747812147339821,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
607,0.02000000000000135,0.14000000000000057,0.0012625677045434713,0.3,0.0,0.0,-184.0900115966797,189.78460693359375,-1.5747812147339821,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
608,0.019999999999999574,0.16000000000000014,0.004545241594314575,0.3,0.0,0.0,-184.0900115966797,189.7845916748047,-1.5747812147339821,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
609,0.019999999999999574,0.17999999999999972,0.00802211370319128,0.3,0.0,0.0,-184.0900115966797,189.7844696044922,-1.5747812147339821,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
610,0.019999999999999574,0.1999999999999993,0.011676055379211903,0.3,0.0,0.0,-184.0900115966797,189.78428649902344,-1.5747812147339821,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
611,0.02000000000000135,0.22000000000000064,0.01549837552011013,0.3,0.0,0.0,-184.0900115966797,189.7840118408203,-1.5747818805242546,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
612,0.019999999999999574,0.2400000000000002,0.019479963928461075,0.3,0.0,0.0,-184.0900115966797,189.78366088867188,-1.5747824131564727,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
613,0.019999999999999574,0.2599999999999998,0.023608634248375893,0.3,0.0,0.0,-184.0900115966797,189.78326416015625,-1.5747824131564727,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
614,0.019999999999999574,0.27999999999999936,0.027879061177372932,0.3,0.0,0.0,-184.0900115966797,189.78274536132812,-1.5747824131564727,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
615,0.02000000000000135,0.3000000000000007,0.032284557819366455,0.3,0.0,0.0,-184.0900115966797,189.7821502685547,-1.5747832121047998,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
616,0.019999999999999574,0.3200000000000003,0.03682462498545647,0.3,0.0,0.0,-184.0900115966797,189.78146362304688,-1.5747829457886906,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
617,0.019999999999999574,0.33999999999999986,0.04150191694498062,0.3,0.0,0.0,-184.0900115966797,189.7806854248047,-1.5747829457886906,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
618,0.019999999999999574,0.35999999999999943,0.046329379081726074,0.3,0.0,0.0,-184.0900115966797,189.77980041503906,-1.5747833452628541,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
619,0.02000000000000135,0.3800000000000008,0.0513346865773201,0.3,0.0,0.0,-184.0900115966797,189.77882385253906,-1.5747833452628541,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
620,0.019999999999999574,0.40000000000000036,0.05669352039694786,0.3,0.0,0.0,-184.0900115966797,189.7777557373047,-1.5747845436853447,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
621,0.019999999999999574,0.41999999999999993,0.06455615162849426,0.3,0.0,0.0,-184.0900115966797,189.77651977539062,-1.5747833452628541,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
622,0.019999999999999574,0.4399999999999995,0.10722383111715317,0.3,0.0,0.0,-184.0900421142578,189.77456665039062,-1.574789870007525,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
623,0.02000000000000135,0.46000000000000085,0.15428146719932556,0.3,0.0,0.0,-184.0900421142578,189.77154541015625,-1.574777752624565,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
624,0.019999999999999574,0.4800000000000004,0.18399156630039215,0.3,0.0,0.0,-184.0900115966797,189.76768493652344,-1.5747456615334297,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
625,0.019999999999999574,0.5,0.18990111351013184,0.3,0.0,0.0,-184.0900421142578,189.7637481689453,-1.574770828405731,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
626,0.019999999999999574,0.5199999999999996,0.21902373433113098,0.3,0.0,0.0,-184.09005737304688,189.7594757080078,-1.5748154363539897,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
627,0.019999999999999574,0.5399999999999991,0.22488391399383545,0.3,0.0,0.0,-184.09007263183594,189.7549591064453,-1.5747717605121123,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
628,0.02000000000000135,0.5600000000000005,0.2575604319572449,0.3,0.0,0.0,-184.090087890625,189.7498016357422,-1.574942335979932,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
629,0.019999999999999574,0.5800000000000001,0.2798042297363281,0.3,0.0,0.0,-184.09011840820312,189.7440643310547,-1.5749252917489553,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
630,0.019999999999999574,0.5999999999999996,0.31000036001205444,0.3,0.0,0.0,-184.09014892578125,189.73765563964844,-1.5749304849130812,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
631,0.019999999999999574,0.6199999999999992,0.3422192633152008,0.3,0.0,0.0,-184.0901641845703,189.7307586669922,-1.5749315501775172,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
632,0.02000000000000135,0.6400000000000006,0.37016424536705017,0.3,0.0,0.0,-184.0902099609375,189.72320556640625,-1.574945265457131,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
633,0.019999999999999574,0.6600000000000001,0.3884838819503784,0.3,0.0,0.0,-184.0902557373047,189.7152099609375,-1.5749540538887283,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
634,0.019999999999999574,0.6799999999999997,0.4166841506958008,0.3,0.0,0.0,-184.0902862548828,189.706787109375,-1.57497775602243,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
635,0.019999999999999574,0.6999999999999993,0.4263758361339569,0.3,0.0,0.0,-184.09034729003906,189.6981201171875,-1.575044601365791,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
636,0.02000000000000135,0.7200000000000006,0.4528653621673584,0.3,0.0,0.0,-184.0904083251953,189.68896484375,-1.5750998619584102,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
637,0.019999999999999574,0.7400000000000002,0.47913938760757446,0.3,0.0,0.0,-184.09043884277344,189.67930603027344,-1.575180156265276,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
638,0.019999999999999574,0.7599999999999998,0.5055212378501892,0.3,0.0,0.0,-184.0904998779297,189.66908264160156,-1.575214244727229,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
