,t,v,throttle,brake
200,3.9999999999999982,0.8294950723648071,0.2,0.0
201,4.019999999999998,0.83076411485672,0.2,0.0
202,4.040000000000001,0.8320168852806091,0.2,0.0
203,4.0600000000000005,0.8332509398460388,0.2,0.0
204,4.080000000000001,0.8344681859016418,0.2,0.0
205,4.1,0.8356686234474182,0.2,0.0
206,4.119999999999999,0.8368523716926575,0.2,0.0
207,4.139999999999998,0.8380193114280701,0.2,0.0
208,4.159999999999998,0.8391708731651306,0.2,0.0
209,4.179999999999998,0.8403058648109436,0.2,0.0
210,4.200000000000001,0.841425359249115,0.2,0.0
211,4.220000000000001,0.8425291180610657,0.2,0.0
212,4.240000000000001,0.8436176776885986,0.2,0.0
213,4.26,0.8446915149688721,0.2,0.0
214,4.279999999999999,0.8457508683204651,0.2,0.0
215,4.299999999999998,0.8467941880226135,0.2,0.0
216,4.3199999999999985,0.8478233814239502,0.2,0.0
217,4.339999999999998,0.8488382697105408,0.2,0.0
218,4.360000000000001,0.8498393893241882,0.2,0.0
219,4.380000000000001,0.8508259654045105,0.2,0.0
220,4.4,0.8517982363700867,0.2,0.0
221,4.42,0.8527581095695496,0.2,0.0
222,4.4399999999999995,0.8537041544914246,0.2,0.0
223,4.459999999999999,0.8546371459960938,0.2,0.0
224,4.479999999999999,0.8555566072463989,0.2,0.0
225,4.499999999999998,0.856464147567749,0.2,0.0
226,4.519999999999998,0.8573583960533142,0.2,0.0
227,4.540000000000001,0.8582402467727661,0.2,0.0
228,4.5600000000000005,0.8591099977493286,0.2,0.0
229,4.580000000000001,0.8599679470062256,0.2,0.0
230,4.6,0.8608134388923645,0.2,0.0
231,4.619999999999999,0.8616470098495483,0.2,0.0
232,4.639999999999998,0.8624690175056458,0.2,0.0
233,4.659999999999998,0.8632802367210388,0.2,0.0
234,4.679999999999998,0.8640795946121216,0.2,0.0
235,4.700000000000001,0.8648679256439209,0.2,0.0
236,4.720000000000001,0.8656452894210815,0.2,0.0
237,4.740000000000001,0.8664115667343141,0.2,0.0
238,4.76,0.8671677112579346,0.2,0.0
239,4.779999999999999,0.8679130077362059,0.2,0.0
240,4.799999999999998,0.8686478734016418,0.2,0.0
241,4.8199999999999985,0.8693728446960449,0.2,0.0
242,4.839999999999998,0.8700873255729675,0.2,0.0
243,4.860000000000001,0.8707915544509888,0.2,0.0
244,4.880000000000001,0.8714864253997803,0.2,0.0
245,4.9,0.8721720576286316,0.2,0.0
246,4.92,0.8728474974632263,0.2,0.0
247,4.9399999999999995,0.8735138773918152,0.2,0.0
248,4.959999999999999,0.8741698861122131,0.2,0.0
249,4.979999999999999,0.8748177886009216,0.2,0.0
250,4.999999999999998,0.8754563927650452,0.2,0.0
251,5.019999999999998,0.8760856986045837,0.2,0.0
252,5.040000000000001,0.8767067790031433,0.2,0.0
253,5.0600000000000005,0.8773190975189209,0.2,0.0
254,5.080000000000001,0.8779225945472717,0.2,0.0
255,5.1,0.878517746925354,0.2,0.0
256,5.119999999999999,0.8791049718856812,0.2,0.0
257,5.139999999999998,0.8796837329864502,0.2,0.0
258,5.159999999999998,0.8802545070648193,0.2,0.0
259,5.179999999999998,0.8808166980743408,0.2,0.0
260,5.200000000000001,0.8813717365264893,0.2,0.0
261,5.220000000000001,0.8819186687469482,0.2,0.0
262,5.240000000000001,0.8824577927589417,0.2,0.0
263,5.26,0.8829901218414307,0.2,0.0
264,5.279999999999999,0.8835144639015198,0.2,0.0
265,5.299999999999998,0.8840310573577881,0.2,0.0
266,5.3199999999999985,0.8845409750938416,0.2,0.0
267,5.339999999999998,0.8850433230400085,0.2,0.0
268,5.360000000000002,0.8855389952659607,0.2,0.0
269,5.380000000000001,0.8860275149345398,0.2,0.0
270,5.4,0.8865095973014832,0.2,0.0
271,5.42,0.8869850635528564,0.2,0.0
272,5.4399999999999995,0.8874539136886597,0.2,0.0
273,5.459999999999999,0.8879156112670898,0.2,0.0
274,5.479999999999999,0.8883708715438843,0.2,0.0
275,5.499999999999998,0.8888199329376221,0.2,0.0
276,5.519999999999997,0.8892624378204346,0.2,0.0
277,5.540000000000001,0.8896991014480591,0.2,0.0
278,5.5600000000000005,0.8901297450065613,0.2,0.0
279,5.580000000000001,0.8905543088912964,0.2,0.0
280,5.6,0.8909729719161987,0.2,0.0
281,5.619999999999999,0.8913855552673341,0.2,0.0
282,5.639999999999998,0.8917923569679259,0.2,0.0
283,5.659999999999998,0.8921935558319092,0.2,0.0
284,5.679999999999997,0.8925889134407043,0.2,0.0
285,5.700000000000002,0.8929793834686279,0.2,0.0
286,5.720000000000001,0.8933638334274292,0.2,0.0
287,5.740000000000001,0.8937433362007141,0.2,0.0
288,5.76,0.8941172361373901,0.2,0.0
289,5.779999999999999,0.8944858908653259,0.2,0.0
290,5.799999999999998,0.8948494791984558,0.2,0.0
291,5.8199999999999985,0.895207405090332,0.2,0.0
292,5.839999999999998,0.8955608010292053,0.2,0.0
293,5.860000000000002,0.8959100246429443,0.2,0.0
294,5.880000000000001,0.8962536454200745,0.2,0.0
295,5.9,0.8965926766395569,0.2,0.0
296,5.92,0.8969267010688782,0.2,0.0
297,5.9399999999999995,0.8972563147544861,0.2,0.0
298,5.959999999999999,0.8975809812545776,0.2,0.0
299,5.979999999999999,0.8979013562202454,0.2,0.0
300,5.999999999999998,0.8982167840003967,0.2,0.0
301,6.019999999999997,0.8985283374786377,0.2,0.0
302,6.040000000000001,0.8988353610038757,0.2,0.0
