,u,ssv
1,0.1,0.049239080399274826
0,0.2,0.9204240024089814
8,0.3,1.8341032266616817
5,0.4,2.9823374271392824
3,0.5,4.51621675491333
2,0.6,6.238422870635986
7,0.7,8.571394157409667
11,0.75,10.07748556137085
4,0.8,11.914477443695068
10,0.825,13.434247779846192
6,0.85,15.263076210021973
9,0.875,17.49859733581543
13,0.9,20.302298927307127
12,0.925,23.910007095336915
